Path,URL,Size in bytes (optional but recommended),MD5 Hash (optional but recommended),Filter Terms (optional),Overwrite (optional),Comments (optional)
docs/NEOGEO/Neo Geo AES Manuals/2020 Super Baseball.pdf,https://archive.org/download/mister-manuals/1990_SNK%20Neo%20Geo%20AES.zip/1990_SNK%20Neo%20Geo%20AES%2F2020%20Super%20Baseball.pdf,2905923,b918eff87c86cbe91d0139fec32c18bd,,,2020 Super Baseball.pdf
docs/NEOGEO/Neo Geo AES Manuals/Aggressors of Dark Kombat.pdf,https://archive.org/download/mister-manuals/1990_SNK%20Neo%20Geo%20AES.zip/1990_SNK%20Neo%20Geo%20AES%2FAggressors%20of%20Dark%20Kombat.pdf,3764636,e830f4431a362f718118f419c12e2d69,,,Aggressors of Dark Kombat.pdf
docs/NEOGEO/Neo Geo AES Manuals/Alpha Mission II.pdf,https://archive.org/download/mister-manuals/1990_SNK%20Neo%20Geo%20AES.zip/1990_SNK%20Neo%20Geo%20AES%2FAlpha%20Mission%20II.pdf,1784179,d6584ed6c09742d25257b526ee6ba8a4,,,Alpha Mission II.pdf
docs/NEOGEO/Neo Geo AES Manuals/Art of Fighting .pdf,https://archive.org/download/mister-manuals/1990_SNK%20Neo%20Geo%20AES.zip/1990_SNK%20Neo%20Geo%20AES%2FArt%20of%20Fighting%20.pdf,3428585,e4385ebf8184c5a1a1bb9e69b8134a49,,,Art of Fighting .pdf
docs/NEOGEO/Neo Geo AES Manuals/Art of Fighting 2.pdf,https://archive.org/download/mister-manuals/1990_SNK%20Neo%20Geo%20AES.zip/1990_SNK%20Neo%20Geo%20AES%2FArt%20of%20Fighting%202.pdf,3505493,5cfcf310690680c969f995df2c0f96c2,,,Art of Fighting 2.pdf
docs/NEOGEO/Neo Geo AES Manuals/Baseball Stars Professional.pdf,https://archive.org/download/mister-manuals/1990_SNK%20Neo%20Geo%20AES.zip/1990_SNK%20Neo%20Geo%20AES%2FBaseball%20Stars%20Professional.pdf,1310805,7e999b275761cd133dacfba078feb5eb,,,Baseball Stars Professional.pdf
docs/NEOGEO/Neo Geo AES Manuals/Blue_s Journey.pdf,https://archive.org/download/mister-manuals/1990_SNK%20Neo%20Geo%20AES.zip/1990_SNK%20Neo%20Geo%20AES%2FBlue_s%20Journey.pdf,1301104,70c2ba10b4d8003d0822b89ff890f725,,,Blue_s Journey.pdf
docs/NEOGEO/Neo Geo AES Manuals/Burning Fight.pdf,https://archive.org/download/mister-manuals/1990_SNK%20Neo%20Geo%20AES.zip/1990_SNK%20Neo%20Geo%20AES%2FBurning%20Fight.pdf,4892402,a0eb98a8ac0e950540fbf995a0039069,,,Burning Fight.pdf
docs/NEOGEO/Neo Geo AES Manuals/Crossed Swords.pdf,https://archive.org/download/mister-manuals/1990_SNK%20Neo%20Geo%20AES.zip/1990_SNK%20Neo%20Geo%20AES%2FCrossed%20Swords.pdf,1414604,edc372bea3c778cdbb96df9da7ba2178,,,Crossed Swords.pdf
docs/NEOGEO/Neo Geo AES Manuals/Cyber-Lip.pdf,https://archive.org/download/mister-manuals/1990_SNK%20Neo%20Geo%20AES.zip/1990_SNK%20Neo%20Geo%20AES%2FCyber-Lip.pdf,1424841,908d759ee9d1f3e2684f195c2fa9a8c0,,,Cyber-Lip.pdf
